Date,StudyTime
19-6-2025,283
20-6-2025,296
21-6-2025,159
22-6-2025,63
23-6-2025,353
24-6-2025,250
25-6-2025,160
26-6-2025,286
27-6-2025,197
28-6-2025,306
29-6-2025,406
30-6-2025,241
1-7-2025,335
2-7-2025,268
3-7-2025,515
4-7-2025,256
5-7-2025,236
